"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AER","Aercap Holdings N.V.","30.66","3974670665.28","n/a","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","39.29","3085356004.72","n/a","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AMG","Affiliated Managers Group, Inc.","73.03","3449824514.71","n/a","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","26.95","0","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","35.17","25234753511.23","n/a","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"MITT","AG Mortgage Investment Trust, Inc.","3.27","107332880.97","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","14.6","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","14.65","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",
"MITT^C","AG Mortgage Investment Trust, Inc.","14.17","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",
"AGCO","AGCO Corporation","53.13","3977724513.84","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","86.56","26727771397.76","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AEM","Agnico Eagle Mines Limited","61.54","14790061188.44","n/a","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem",
"ADC","Agree Realty Corporation","65.77","3541786320.84","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc",
"AL","Air Lease Corporation","29.01","3296796832.62","n/a","2011","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/al",
"AL^A","Air Lease Corporation","22.176","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/al^a",
"APD","Air Products and Chemicals, Inc.","233.14","51490052401.58","n/a","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/apd",
"ALP^Q","Alabama Power Company","26.3","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","96.33","1142496244.89","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/alg",
"AGI","Alamos Gold Inc.","8.3","3247391483.8","n/a","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/agi",
"ALK","Alaska Air Group, Inc.","34.39","4215710943.08","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/alk",
"AIN","Albany International Corporation","54.95","1774885000","n/a","n/a","Basic Industries","Textiles","https://old.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","73.32","7795280778.48","n/a","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/alb",
"AA","Alcoa Corporation","11.14","2071135755.06","n/a","2016","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/aa",
"ALC","Alcon Inc.","57.62","28133706569.4","n/a","2019","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/alc",
"ALEX","Alexander & Baldwin, Inc.","11.56","835863232.48","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","244.75","1250009227.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","163.48","20630332606.68","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/are",
"AQN","Algonquin Power & Utilities Corp.","13.19","6956278663.74","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqn",
"AQNA","Algonquin Power & Utilities Corp.","26.5","0","n/a","2018","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqna",
"AQNB","Algonquin Power & Utilities Corp.","26.23","0","n/a","2019","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqnb",
"BABA","Alibaba Group Holding Limited","226.22","606885604525.26","n/a","2014","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/baba",
"Y","Alleghany Corporation","467.08","6683766268.56","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/y",
"ATI","Allegheny Technologies Incorporated","9.25","1171325668.5","n/a","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/ati",
"ALLE","Allegion plc","97.83","9021904905.24","n/a","2013","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/alle",
"ALE","Allete, Inc.","53.84","2788234262.08","n/a","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/ale",
"ADS","Alliance Data Systems Corporation","45.44","2164214593.28","n/a","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ads",
"AFB","Alliance National Municipal Income Fund Inc","13.32","382882547.52","n/a","2002","n/a","n/a","https://old.nasdaq.com/symbol/afb",
"AWF","Alliance World Dollar Government Fund II","10.18","877818111.86","n/a","1993","n/a","n/a","https://old.nasdaq.com/symbol/awf",
"AB","AllianceBernstein Holding L.P.","25.05","2447215035.75","n/a","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/ab",
"AIO","AllianzGI Artificial Intelligence & Tech Opp Fd","19.45","667584975.75","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/aio",
"CBH","AllianzGI Convertible & Income 2024 Target Term Fund","8.66","158105723.92","n/a","2017","n/a","n/a","https://old.nasdaq.com/symbol/cbh",
"NCV","AllianzGI Convertible & Income Fund","4.37","394932496.53","n/a","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncv",
"NCV^A","AllianzGI Convertible & Income Fund","25.5","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncv^a",
"NCZ","AllianzGI Convertible & Income Fund II","3.85","293045633.65","n/a","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncz",
"NCZ^A","AllianzGI Convertible & Income Fund II","25.37","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncz^a",
"ACV","AllianzGI Diversified Income & Convertible Fund","22.84","236483532.8","n/a","2015","n/a","n/a","https://old.nasdaq.com/symbol/acv",
"NFJ","AllianzGI Dividend, Interest & Premium Strategy Fu","11.05","1047557470.05","n/a","2005","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/nfj",
"NIE","AllianzGI Equity & Convertible Income Fund","22.09","612091036.85","n/a","2007","n/a","n/a","https://old.nasdaq.com/symbol/nie",
"ALSN","Allison Transmission Holdings, Inc.","35.15","3978160196.55","n/a","2012","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/alsn",
"ALL","Allstate Corporation (The)","92.95","29197091030.25","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/all",
"ALL^B","Allstate Corporation (The)","26.01","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^b",
"ALL^G","Allstate Corporation (The)","26.96","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^g",
"ALL^H","Allstate Corporation (The)","25.8399","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^h",
"ALL^I","Allstate Corporation (The)","25.54","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^i",
"ALLY","Ally Financial Inc.","18.31","6832478706.42","n/a","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/ally",
"ALLY^A","Ally Financial Inc.","22.39","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ally^a",
"PINE","Alpine Income Property Trust, Inc.","15.35","114388200","n/a","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/pine",
"ALTG","Alta Equipment Group Inc.","8.75","258224391.25","n/a","2019","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/altg",
"ALTG.WS","Alta Equipment Group Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/altg.ws",
"ALIN^A","Altera Infrastructure L.P.","15.7365","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alin^a",
"ALIN^B","Altera Infrastructure L.P.","16.927","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alin^b",
"ALIN^E","Altera Infrastructure L.P.","17.11","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alin^e",
"AYX","Alteryx, Inc.","158.29","10441002938.41","n/a","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ayx",
"ATUS","Altice USA, Inc.","23.55","13977430100.4","n/a","2017","Consumer Services","Television Services","https://old.nasdaq.com/symbol/atus",
"MO","Altria Group","39.43","73275452526.94","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/mo",
"ACH","Aluminum Corporation of China Limited","4.73","3220689722.14","n/a","2001","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/ach",
"ALUS","Alussa Energy Acquisition Corp.","9.82","352906250","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/alus",
"ALUS.U","Alussa Energy Acquisition Corp.","n/a","0","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/alus.u",
"ALUS.WS","Alussa Energy Acquisition Corp.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alus.ws",
"AMBC","Ambac Financial Group, Inc.","14.26","652808867.98","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/ambc",
"AMBC.WS","Ambac Financial Group, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ambc.ws",
"ABEV","Ambev S.A.","2.59","40748697319.12","n/a","2013","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/abev",
"AMC","AMC Entertainment Holdings, Inc.","4.79","499689815.83","n/a","2013","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/amc",
"AMCR","Amcor plc","9.96","15681395976.12","n/a","2019","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/amcr",
"AEE","Ameren Corporation","69.46","17149051013.26","n/a","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/aee",
"AMRC","Ameresco, Inc.","26.15","1243896427.15","n/a","2010","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/amrc",
"AMOV","America Movil, S.A.B. de C.V.","12.82","55483286874.62","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","13.11","56738369027.01","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amx",
"AAT","American Assets Trust, Inc.","27.3","1639853943","n/a","2011","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aat",
"AXL","American Axle & Manufacturing Holdings, Inc.","7.08","800649807.48","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/axl",
"ACC","American Campus Communities Inc","34.97","4812027511.59","n/a","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/acc",
"AEO","American Eagle Outfitters, Inc.","11.29","1868499843.41","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/aeo",
"AEP","American Electric Power Company, Inc.","80.71","39998514664.43","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aep",
"AEP^B","American Electric Power Company, Inc.","48.99","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aep^b",
"AEL","American Equity Investment Life Holding Company","22.24","2035537172.48","n/a","2003","Finance","Life Insurance","https://old.nasdaq.com/symbol/ael",
"AEL^A","American Equity Investment Life Holding Company","21.4","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ael^a",
"AEL^B","American Equity Investment Life Holding Company","24.01","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ael^b",
"AXP","American Express Company","95.48","76858678724.52","n/a","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","60.34","5421045462.7","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afg",
"AFGB","American Financial Group, Inc.","26.74","0","n/a","2019","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgb",
"AFGC","American Financial Group, Inc.","25.06","25011383.6","n/a","2019","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgc",
"AFGD","American Financial Group, Inc.","26.18","0","n/a","2020","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgd",
"AFGH","American Financial Group, Inc.","25.245","0","n/a","2015","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgh",
"AMH","American Homes 4 Rent","26.87","8091847243.66","n/a","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/amh",
"AMH^D","American Homes 4 Rent","25.58","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^d",
"AMH^E","American Homes 4 Rent","25.45","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^e",
"AMH^F","American Homes 4 Rent","25.22","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^f",
"AMH^G","American Homes 4 Rent","25.11","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^g",
"AMH^H","American Homes 4 Rent","25.86","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^h",
"AIG","American International Group, Inc.","30.3","26097106664.7","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/aig",
"AIG.WS","American International Group, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aig.ws",
"AIG^A","American International Group, Inc.","25.78","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aig^a",
"ARL","American Realty Investors, Inc.","8.17","130696110.92","n/a","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/arl",
"ARA","American Renal Associates Holdings, Inc","5.84","197038265.36","n/a","2016","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/ara",
"AWR","American States Water Company","76.57","2824190345.47","n/a","n/a","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/awr",
"AMT","American Tower Corporation (REIT)","254.18","112679630156.66","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/amt",
"AVD","American Vanguard Corporation","12.46","375840786.02","n/a","n/a","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/avd",
"AWK","American Water Works","124.4","22519251496.8","n/a","2008","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/awk",
"COLD","Americold Realty Trust","36.51","7312273329.84","n/a","2018","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cold",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","142.96","17489332974.08","n/a","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amp",
"ABC","AmerisourceBergen Corporation (Holding Co)","98.84","20104329786.8","n/a","n/a","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/abc",
"RYCE","Amira Nature Foods Ltd","8.88","17919689.04","n/a","2012","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ryce",
"AMN","AMN Healthcare Services Inc","44.53","2091852457.03","n/a","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/amn",
"AMRX","Amneal Pharmaceuticals, Inc.","4.82","1443259285.34","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amrx",
"AP","Ampco-Pittsburgh Corporation","2.96","37470178.24","n/a","n/a","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","94.61","27994566251.09","n/a","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aph",
"AXR","AMREP Corporation","4.5","36616068","n/a","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/axr",
"HKIB","AMTD International Inc.","6.5","1596474613.5","n/a","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/hkib",
"AME","AMTEK, Inc.","85.84","19694450948.96","n/a","n/a","Consumer Durables","Metal Fabrications","https://old.nasdaq.com/symbol/ame",
"PLAN","Anaplan, Inc.","43.8","6024271710","n/a","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/plan",
"FINS","Angel Oak Financial Strategies Income Term Trust","16.65","191806901.1","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/fins",
"AU","AngloGold Ashanti Limited","28.36","11811815981.72","n/a","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/au",
"BUD","Anheuser-Busch Inbev SA","48.92","95852826843.92","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/bud",
"NLY","Annaly Capital Management Inc","6.61","9455105270.78","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/nly",
"NLY^D","Annaly Capital Management Inc","24.04","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^d",
"NLY^F","Annaly Capital Management Inc","21.675","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^f",
"NLY^G","Annaly Capital Management Inc","20.5","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^g",
"NLY^I","Annaly Capital Management Inc","21.76","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^i",
"AM","Antero Midstream Corporation","5.41","2577833713.97","n/a","2017","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/am",
"AR","Antero Resources Corporation","2.59","695131138.59","n/a","2013","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ar",
"ANTM","Anthem, Inc.","257.31","64871992919.07","n/a","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/antm",
"ANH","Anworth Mortgage Asset  Corporation","1.73","171168495.71","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/anh",
"ANH^A","Anworth Mortgage Asset  Corporation","23.18","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^a",
"ANH^B","Anworth Mortgage Asset  Corporation","18.42","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^b",
"ANH^C","Anworth Mortgage Asset  Corporation","21.04","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^c",
"AON","Aon plc","187.53","43335292037.52","n/a","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/aon",
"AIV","Apartment Investment and Management Company","36.2","5388882049","n/a","1994","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aiv",
"APG","APi Group Corporation","13.16","2235913741.6","n/a","2020","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/apg",
"ARI","Apollo Commercial Real Estate Finance","9.56","1470545795.92","n/a","2009","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ari",
"APO","Apollo Global Management, Inc","49.51","11329576241.49","n/a","2011","Finance","Investment Managers","https://old.nasdaq.com/symbol/apo",
"APO^A","Apollo Global Management, Inc","26.06","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^a",
"APO^B","Apollo Global Management, Inc","25.95","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^b",
"AFT","Apollo Senior Floating Rate Fund Inc.","12.34","192171572.74","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/aft",
"AIF","Apollo Tactical Income Fund Inc.","12.36","178775361.36","n/a","2013","n/a","n/a","https://old.nasdaq.com/symbol/aif",
"APLE","Apple Hospitality REIT, Inc.","9.83","2194219453.24","n/a","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aple",
"AIT","Applied Industrial Technologies, Inc.","58.27","2255456890","n/a","n/a","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/ait",
"ATR","AptarGroup, Inc.","105.94","6799944930.64","n/a","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/atr",
"APTV","Aptiv PLC","74.62","20149368027.88","n/a","2011","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/aptv",
"APTV^A","Aptiv PLC","99.05","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aptv^a",
"ARMK","Aramark","22.68","5729328203.76","n/a","2013","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/armk",
"ABR","Arbor Realty Trust","9.51","1048490766.45","n/a","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/abr",
"ABR^A","Arbor Realty Trust","24.75","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^a",
